index,Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,time,T2
2502,2017-03-15 01:15:10.182,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51511,1,58,1,.A..S.,0,1489540510.182,119.26834999322892
85,2017-03-15 01:18:10.210,0.0,TCP  ,192.168.200.9,49158,192.168.220.16,51357,1,      58,1,.A..S.,0,1489540690.21,119.97199988365173
120,2017-03-15 01:19:13.218,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51512,1,      58,1,.A..S.,0,1489540753.218,236.99200010299683
263,2017-03-15 01:23:04.260,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51513,1,      58,1,.A..S.,0,1489540984.26,68.95799994468689
426,2017-03-15 01:26:23.297,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51514,1,      58,1,.A..S.,0,1489541183.297,100.96300005912781
555,2017-03-15 01:29:40.331,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51515,1,      58,1,.A..S.,0,1489541380.331,102.96599984169006
676,2017-03-15 01:33:02.366,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51516,1,      58,1,.A..S.,0,1489541582.366,97.96500015258789
813,2017-03-15 01:36:19.399,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51517,1,      58,1,.A..S.,0,1489541779.399,102.9670000076294
946,2017-03-15 01:39:39.438,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51518,1,      58,1,.A..S.,0,1489541979.438,99.96099996566772
1070,2017-03-15 01:42:56.471,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51519,1,      58,1,.A..S.,0,1489542176.471,102.9670000076294
1187,2017-03-15 01:46:14.508,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51520,1,      58,1,.A..S.,0,1489542374.508,101.96300005912781
1310,2017-03-15 01:49:31.542,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51521,1,      58,1,.A..S.,0,1489542571.542,102.96599984169006
1440,2017-03-15 01:52:51.579,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51522,1,      58,1,.A..S.,0,1489542771.579,99.96300005912781
1508,2017-03-15 01:54:04.600,0.0,TCP  ,192.168.200.9,49153,192.168.220.16,51357,1,      58,1,.A..S.,0,1489542844.6,226.97900009155273
1627,2017-03-15 01:57:02.626,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51523,1,      58,1,.A..S.,0,1489543022.626,121.97399997711182
1783,2017-03-15 02:00:52.662,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51524,1,      58,1,.A..S.,0,1489543252.662,69.96399998664856
1879,2017-03-15 02:03:19.688,0.0,TCP  ,192.168.200.9,49154,192.168.220.16,51357,1,      58,1,.A..S.,0,1489543399.688,152.97399997711182
1948,2017-03-15 02:05:28.708,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51525,1,      58,1,.A..S.,0,1489543528.708,170.9800000190735
2076,2017-03-15 02:08:45.740,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51526,1,      58,1,.A..S.,0,1489543725.74,102.96799993515015
2212,2017-03-15 02:12:07.778,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51527,1,      58,1,.A..S.,0,1489543927.778,97.96199989318848
2333,2017-03-15 02:15:24.815,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51528,1,      58,1,.A..S.,0,1489544124.815,102.96300005912781
